item_id	describe	money	diamond	category
17paly_gold_420	420钻石	600	420	1
17play_gold_2100	2100钻石	3000	2100	1
17play_gold_8960	8960钻石	12800	8960	1
17play_gold_22960	22960钻石	32800	22960	1
17play_gold_45360	45360钻石	64800	45360	1
wan_buy_420	420钻石	600	420	2
wan_buy_2100	2100钻石	3000	2100	2
wan_buy_8960	8960钻石	12800	8960	2
wan_buy_22960	22960钻石	32800	22960	2
wan_buy_45360	45360钻石	64800	45360	2
live_buy_420	420钻石	600	420	3
live_buy_2100	2100钻石	3000	2100	3
live_buy_8960	8960钻石	12800	8960	3
live_buy_22960	22960钻石	32800	22960	3
live_buy_45360	45360钻石	64800	45360	3
